Pressure,Initial Temperature,Length-to-diameter Ratio,N2,CH4,Final Temperature,Final Enthalpy,Reaction Rate,Catalyst Weight,Equipment Volume,Equipment Weight,Equipment Cost,Catalyst Cost,Total Cost,Objective Function
2000000.0,300.0,1.01,2532.28,49.87,302.1761255403102,-3291.6565298104924,4.457364499228906e-05,566621.2407860884,398.439097624248,166517.1967773807,11184342.789997088,11332424.815721769,22516767.60571886,1.3220037221776952
2000000.0,300.0,1.01,2532.28,49.87,302.1761255403102,-3291.6565298104924,4.457364499228906e-05,566621.2407860884,398.439097624248,166517.1967773807,11184342.789997088,11332424.815721769,22516767.60571886,1.3220037221776952
2000000.0,704.0,1.01,2532.28,49.87,705.7010897435057,-2896.392956411446,1e-07,1433720874.5530047,1007701.907356184,406997296.9673172,8415006315.539499,28674417491.060097,37089423806.599594,1847.944321043316
2000000.0,-104.0,1.01,2532.28,49.87,,,,,,,,,,
8000000.0,300.0,1.01,2532.28,49.87,312.128873083036,-3324.99610478429,5.4139514234277255e-05,503955.94606630475,368.2585790790684,580629.1041621119,32167364.998940375,10079118.921326095,42246483.92026647,2.8487363446218152
-4000000.0,300.0,1.01,2532.28,49.87,7309.389158147575,-5566988219.113791,1e-07,1433720874.5530047,968154.8867281515,-804565365.0509565,,28674417491.060097,,
2000000.0,300.0,10.209999999999999,2532.28,49.87,302.1761255403102,-3291.6565298104924,4.457364499228906e-05,566621.2407860884,397.11439609569726,77072.2972266207,5853574.2886020215,11332424.815721769,17185999.10432379,0.9206503803543005
2000000.0,300.0,-8.19,2532.28,49.87,302.1761255403102,-3291.6565298104924,4.457364499228906e-05,566621.2407860884,,,,11332424.815721769,,
2000000.0,300.0,1.01,8532.278,49.87,302.1556997814373,-3292.360409030671,2.380908294638077e-05,1062165.1496294192,746.8270312302387,309979.0248863616,18905183.726190664,21243302.992588386,40148486.71877905,2.323037176016436
2000000.0,300.0,1.01,-3467.717999999999,49.87,302.1863474455065,-3290.635257992408,0.00011160895684265037,225870.07642669702,158.85681408635602,67253.2735043474,5223059.650595432,4517401.52853394,9740461.179129373,0.5845586207506885
