Pressure,Initial Temperature,Length-to-diameter Ratio,Final Temperature,Final Enthalpy,Reaction Rate,Catalyst Weight,Equipment Volume,Equipment Weight,Equipment Cost,Catalyst Cost,Total Cost,Objective Function
2000000.0,300.0,1.01,302.192653411867,-3291.6206699765553,4.458853639879795e-05,564282.1525157306,396.79456202359114,165838.19936602263,11145874.911304284,11285643.050314613,22431517.961618897,1.3171262412444396
2000000.0,300.0,1.01,302.192653411867,-3291.6206699765553,4.458853639879795e-05,564282.1525157306,396.79456202359114,165838.19936602263,11145874.911304284,11285643.050314613,22431517.961618897,1.3171262412444396
2000000.0,704.0,1.01,710.0099252451614,-2907.801418578232,1e-07,1433720874.5530047,1007701.907356184,406997296.9673172,8415006315.539499,28674417491.060097,37089423806.599594,1847.944321043316
2000000.0,-104.0,1.01,,,,,,,,,,
8000000.0,300.0,1.01,329.04022328100405,-3286.4118316806653,7.31785633110385e-05,403599.8688300173,294.93632172320633,465365.87352526386,26667094.5812428,8071997.376600346,34739091.95784315,2.34961840490946
-4000000.0,300.0,1.01,13372.397560472227,-17652146275.145042,1e-07,1424944163.2709067,962228.2734532178,-799637887.7427781,,28498883265.418133,,
2000000.0,300.0,6.210000000000001,302.192653411867,-3291.6206699765553,4.458853639879795e-05,564282.1525157306,395.5195227232563,82299.29596374917,6184228.966308072,11285643.050314613,17469872.016622685,0.9435641215523951
2000000.0,300.0,-4.1899999999999995,302.192653411867,-3291.6206699765553,4.458853639879795e-05,564282.1525157306,,,,11285643.050314613,,
2000000.0,502.0,1.01,510.5892275690973,-2873.897009080256,1e-07,10263304.699126445,7214.7549643294615,2947542.1481717946,127714769.05426592,205266093.9825289,332980863.0367948,18.308782359426218
2000000.0,98.0,1.01,182.7224295895686,-3484.920139959062,1e-07,747248360.9777383,525214.0285208195,212268579.64158222,4839025432.775535,14944967219.554766,19783992652.3303,997.2583839064487
5000000.0,300.0,1.01,318.1853825876254,-3286.496160621735,6.055405952918353e-05,463907.1673340453,332.61386121020877,334958.46902500803,20186464.59945946,9278143.346680906,29464607.946140364,1.9127730472368825
-1000000.0000000002,300.0,1.01,9220.752041385616,-11104133547.83254,1e-07,1390158267.0622103,957919.8951213065,-194945229.38405555,,27803165341.244205,,
2000000.0,300.0,3.6100000000000003,302.192653411867,-3291.6206699765553,4.458853639879795e-05,564282.1525157306,395.6607257073054,93437.9676243196,6878652.65361096,11285643.050314613,18164295.703925572,0.9958472524869686
2000000.0,300.0,-1.5899999999999999,302.192653411867,-3291.6206699765553,4.458853639879795e-05,564282.1525157306,,,,11285643.050314613,,
2000000.0,401.0,1.01,411.23761194659306,-3064.2707770671495,0.00019548543558994353,119344.80111221035,83.94999862124365,35950.22945537667,3103783.612722991,2386896.022244207,5490679.634967199,0.33477022418004426
2000000.0,199.0,1.01,214.9564756327911,-3440.5295935515114,3.697426195737042e-06,8875278.951373994,6239.079032305075,2550722.0772871356,112954461.27230191,177505579.0274799,290460040.2997818,16.02180487373856
3500000.0,300.0,1.01,315.7426668060583,-3278.567256961929,5.791258830032531e-05,478340.1181988807,339.66636371807874,242915.19796170795,15383526.462182805,9566802.363977615,24950328.82616042,1.5633849150130985
499999.99999999994,300.0,1.01,300.48248586762855,-3279.943473995643,4.306502164643032e-05,583732.3006955625,406.44606076658073,47414.979159024886,3903479.638131308,11674646.013911251,15578125.652042558,0.7883211078414065
2000000.0,300.0,2.31,302.192653411867,-3291.6206699765553,4.458853639879795e-05,564282.1525157306,395.8895304747814,109003.7133516021,7828752.786449553,11285643.050314613,19114395.836764164,1.0673802525191078
2000000.0,300.0,-0.29000000000000004,302.192653411867,-3291.6206699765553,4.458853639879795e-05,564282.1525157306,,,,11285643.050314613,,
2000000.0,350.5,1.01,361.5615131297342,-3170.4068095143684,0.00011898470293904,219700.26920430327,154.51849882339965,65446.10606040534,5105558.842478514,4394005.384086065,9499564.226564579,0.5704860887339496
2000000.0,249.5,1.01,273.8781016878511,-3344.6266876924583,2.3673559362695274e-05,1395750.3862014094,981.3419898176129,406267.9960682119,23769419.208521273,27915007.72402819,51684426.93254946,2.9718159772355826
2750000.0,300.0,1.01,303.00792168670716,-3297.320771399167,4.5327151217586584e-05,555161.2073243778,392.2944249638377,222350.33575451796,14275715.756366812,11103224.146487556,25378939.902854368,1.545046279715524
1250000.0,300.0,1.01,301.36610988713113,-3285.79814447414,4.384783989835546e-05,573866.1951819842,401.55538754809925,107578.2582324282,7742637.307618218,11477323.903639685,19219961.211257905,1.069014421166495
2000000.0,300.0,1.6600000000000001,302.192653411867,-3291.6206699765553,4.458853639879795e-05,564282.1525157306,396.1567317275952,126190.51800620822,8854448.187970776,11285643.050314613,20140091.23828539,1.1446048172297492
2000000.0,300.0,0.36000000000000004,302.192653411867,-3291.6206699765553,4.458853639879795e-05,564282.1525157306,399.8430869559617,349645.3977874967,20933070.3160828,11285643.050314613,32218713.366397414,2.0540037818389036
2000000.0,325.25,1.01,336.7351567060479,-3222.439226945842,8.298956262652091e-05,323329.16780170955,227.3833811400695,95737.16138058345,7020401.093404717,6466583.356034191,13486984.449438907,0.8024294079228598
2000000.0,274.75,1.01,302.2322263458716,-3291.544222556966,4.462420442649142e-05,667087.4010228026,469.07286853903884,195660.4731728696,12814583.063231215,13341748.020456051,26156331.08368727,1.5298404926730407
2375000.0,300.0,1.01,302.63228799721776,-3294.423387881581,4.49858442757733e-05,559555.827015515,394.43551374174314,194266.7858463272,12737494.766837843,11191116.540310299,23928611.307148144,1.432955980288845
