conversion_profile,temperature_profile,instant_temperature_change_profile,enthalpy_profile,instant_enthalpy_profile,reaction_rate_profile
0.3936936936936937,471.77910666299886,0.02780735722074023,-1852563.2279203187,-3168.8923124147113,0.002322955591299811
0.3945945945945946,471.8068717723586,0.027765109359761748,-1855727.3320612106,-3164.1041408919264,0.0023193454015517923
0.3954954954954955,471.8345946384778,0.027722866119248842,-1858886.6484181592,-3159.316356948577,0.0023157331343792147
0.3963963963963964,471.86227526596906,0.02768062749124964,-1862041.1773781327,-3154.5289599734824,0.002312118794388346
0.3972972972972973,471.8899136594371,0.02763839346807555,-1865190.9193275182,-3149.7419493854977,0.002308502386186242
0.3981981981981982,471.9175098234789,0.02759616404177819,-1868335.8746520916,-3144.9553245734423,0.002304883914380725
0.39909909909909913,471.94506376268356,0.027553939204672456,-1871476.0437370483,-3140.1690849566367,0.0023012633835804066
0.4,471.97257548163265,0.027511718949074972,-1874611.426967002,-3135.3832299537025,0.0022976407983946573
0.4009009009009009,472.00004498490006,0.027469503267434855,-1877742.0247260004,-3130.597758998396,0.0022940161634336037
0.4018018018018018,472.02747227705163,0.02742729215154918,-1880867.83739745,-3125.812671449734,0.0022903894833081343
0.4027027027027027,472.05485736264524,0.027385085593609033,-1883988.8653641623,-3121.027966712136,0.0022867607626298747
0.4036036036036036,472.0822002462316,0.027342883586330215,-1887105.1090084112,-3116.243644248927,0.002283130006011204
0.40450450450450454,472.1095009323531,0.027300686121514994,-1890216.5687118303,-3111.4597034191247,0.00227949721806523
0.40540540540540543,472.1367594255449,0.027258493191751845,-1893323.2448555022,-3106.6761436718516,0.002275862403405804
0.4063063063063063,472.16397573033413,0.027216304789238713,-1896425.137819913,-3101.8929644108284,0.002272225566647493
0.4072072072072072,472.1911498512398,0.027174120905652303,-1899522.2479848934,-3097.110164980404,0.0022685867124055724
0.4081081081081081,472.21828179277367,0.027131941533847664,-1902614.5757297522,-3092.327744858805,0.0022649458452960536
0.409009009009009,472.24537155943983,0.027089766666158643,-1905702.1214332175,-3087.545703465352,0.0022613029699356485
0.40990990990990994,472.2724191557341,0.027047596294267024,-1908784.8854733617,-3082.7640401441604,0.0022576580909417603
0.41081081081081083,472.299424586145,0.027005430410902226,-1911862.8682277203,-3077.982754358556,0.002254011212932503
0.4117117117117117,472.32638785515286,0.026963269007880188,-1914936.0700731885,-3073.2018454682548,0.0022503623405266625
0.4126126126126126,472.35330896723093,0.026921112078064434,-1918004.49138614,-3068.421312951483,0.002246711478343732
0.4135135135135135,472.3801879268441,0.026878959613143537,-1921068.1325422926,-3063.6411561525892,0.00224305863100387
0.4144144144144144,472.40702473844993,0.026836811605853633,-1924126.9939168275,-3058.8613745348994,0.0022394038031279097
0.41531531531531535,472.43381940649806,0.02679466804814814,-1927181.0758843005,-3054.08196747303,0.0022357469993373536
0.41621621621621624,472.46057193543044,0.026752528932374297,-1930230.3788186861,-3049.3029343856033,0.002232088224254367
0.41711711711711713,472.4872823296812,0.026710394250750336,-1933274.9030933625,-3044.5242746763397,0.0022284274825017662
