Pressure,Initial Temperature,Length-to-diameter Ratio,Final Temperature,Final Enthalpy,Reaction Rate,Catalyst Weight,Equipment Volume,Equipment Weight,Equipment Cost,Catalyst Cost,Total Cost,Objective Function
2000000.0,300.0,1.01,302.19107778770194,-6677.692902652527,4.458711663983746e-05,562201.5006231976,395.3317238541941,165234.20205614215,11111636.22630922,11244030.012463951,22355666.23877317,1.3127860748544449
2000000.0,300.0,1.01,302.19107778770194,-6677.692902652527,4.458711663983746e-05,562201.5006231976,395.3317238541941,165234.20205614215,11111636.22630922,11244030.012463951,22355666.23877317,1.3127860748544449
2000000.0,401.0,1.01,421.1807620199784,-6033.649094378556,0.0002061113419331,112408.98500414591,79.07252088779721,33902.09960106855,2957157.416232507,2248179.7000829186,5205337.116315426,0.3178560241194507
3500000.0,300.0,1.01,329.25576273300084,-6547.040271928514,7.344377797829554e-05,409782.00330932176,290.9917791065287,208349.4802913149,13512737.704053668,8195640.0661864355,21708377.770240106,1.3644637574926262
2000000.0,300.0,2.31,302.19107778770194,-6677.692902652527,4.458711663983746e-05,562201.5006231976,394.430107005206,108609.19175139187,7804935.701409213,11244030.012463951,19048965.713873167,1.063824727962252
2000000.0,350.5,1.01,372.5110374672649,-6301.329367404784,0.0001364269849905,200013.8891725243,140.67584386986394,59675.94460752579,4727042.236896741,4000277.783450486,8727320.020347226,0.5253129881421361
2750000.0,300.0,1.01,303.06456595628583,-6680.317325850929,4.537876624655008e-05,552981.1343234746,390.75417442609336,221485.11161554485,14228778.69947262,11059622.686469492,25288401.385942116,1.5396658425504022
1250000.0,300.0,1.01,301.2828057736278,-6675.062487116064,4.3773641336255176e-05,572454.6910938509,400.5678706045356,107318.68563628352,7726937.483018838,11449093.821877018,19176031.30489585,1.0666368210612112
2000000.0,300.0,1.66,302.19107778770194,-6677.692902652527,4.458711663983746e-05,562201.5006231976,394.6962894290222,125732.52411285964,8827399.885011243,11244030.012463951,20071429.8974752,1.1408060144082888
2000000.0,325.25,1.01,348.1992802111308,-6432.908975539709,9.885522078657658e-05,288464.23816726095,202.8691378439424,85559.32950600966,6388852.559490124,5769284.763345219,12158137.322835345,0.7253491295837199
2375000.0,300.0,1.01,302.6520815487896,-6678.900114012862,4.5003786724148354e-05,557525.4249287905,393.00450590296464,193569.21754048887,12698879.411157662,11150508.49857581,23849387.909733474,1.4283288567329364
1625000.0,300.0,1.01,301.7284881041047,-6676.429312167669,4.417157389999834e-05,567087.0653410064,397.78964167845743,136478.1970873099,9458251.923833769,11341741.306820128,20799993.230653897,1.192440970667427
2000000.0,300.0,1.335,302.19107778770194,-6677.692902652527,4.458711663983746e-05,562201.5006231976,394.93377341116434,140641.0478798441,9700613.705769183,11244030.012463951,20944643.71823314,1.2065502471574423
2000000.0,300.0,0.685,302.19107778770194,-6677.692902652527,4.458711663983746e-05,562201.5006231976,396.1208995216985,213300.31159050245,13783387.399745896,11244030.012463951,25027417.41220985,1.513942111118027
2000000.0,312.625,1.01,336.06150597727844,-6498.062352946008,8.210286271532163e-05,354228.3129552794,249.1089014734119,104748.1311062877,7571151.555088971,7084566.259105588,14655717.81419456,0.870067335520109
2187500.0,300.0,1.01,302.3786034272379,-6678.507298639024,4.4756300759184975e-05,559932.7808258631,394.2189377036627,179482.55845062807,11914491.43735718,11198655.616517264,23113147.05387444,1.3713113777838752
1812500.0,300.0,1.01,301.9366278825575,-6677.1870904099,4.435822798760102e-05,564891.4016244139,396.736329304144,150982.9298378679,10298147.233263113,11297828.03248828,21595975.26575139,1.2538169004646358
2000000.0,300.0,1.1725,302.19107778770194,-6677.692902652527,4.458711663983746e-05,562201.5006231976,395.1042796630597,151223.4647293212,10311970.255952029,11244030.012463951,21556000.26841598,1.2525792567453269
2000000.0,300.0,0.8475,302.19107778770194,-6677.692902652527,4.458711663983746e-05,562201.5006231976,395.6491177893053,184645.57436219856,12203019.67039648,11244030.012463951,23447049.682860438,1.394956289595624
2000000.0,306.3125,1.01,329.99958572245384,-6530.467290258015,7.43633245741729e-05,394956.25621754,277.7447818425166,116613.98478436576,8285713.496910214,7899125.124350799,16184838.621261014,0.958363733060724
2093750.0,300.0,1.01,302.3848094957351,-6678.312803944553,4.476190703354216e-05,560876.8646396475,394.6419639476219,172314.86304225517,11511856.6405612,11217537.29279295,22729393.93335415,1.3417966708032574
1906250.0,300.0,1.01,302.15321047909134,-6676.972487179542,4.455300422439624e-05,563539.757149059,396.02990596579394,158123.75485345995,10707134.0162057,11270795.14298118,21977929.15918688,1.283464639434901
2000000.0,300.0,1.09125,302.19107778770194,-6677.692902652527,4.458711663983746e-05,562201.5006231976,395.20928332002507,157704.54808003842,10683201.898313262,11244030.012463951,21927231.91077721,1.2805292718722785
2000000.0,300.0,0.92875,302.19107778770194,-6677.692902652527,4.458711663983746e-05,562201.5006231976,395.476208857166,174087.6426344489,11611669.935933422,11244030.012463951,22855699.948397376,1.3504335923426831
2000000.0,303.15625,1.01,302.3083523882577,-6677.077070651556,4.469287144135313e-05,561945.0069711439,395.1513915301245,165159.74263291137,11107414.060020128,11238900.13942288,22346314.199443005,1.3122509349166087
2046875.0,300.0,1.01,302.29053526509324,-6677.62949517181,4.467679385757723e-05,561786.3019944301,395.16078219995126,168852.11099116952,11316446.043676555,11235726.039888602,22552172.08356516,1.3278545193665938
1953125.0,300.0,1.01,302.0998308811271,-6677.712399652208,4.450494689544252e-05,563263.8880870972,395.9573628804761,161794.76197447002,10916305.001305344,11265277.761741944,22181582.76304729,1.298979449907152
2000000.0,300.0,1.050625,302.19107778770194,-6677.692902652527,4.458711663983746e-05,562201.5006231976,395.2680694923986,161323.09732532504,10889470.119487628,11244030.012463951,22133500.13195158,1.2960591977842053
2000000.0,300.0,0.969375,302.19107778770194,-6677.692902652527,4.458711663983746e-05,562201.5006231976,395.4008623220621,169474.6452100531,11351620.978079256,11244030.012463951,22595650.99054321,1.3308545169720034
2000000.0,301.578125,1.01,302.15765705812333,-6677.86838456055,4.455700899344065e-05,562409.6708733736,395.4780815631827,165294.6331177589,11115062.714966604,11248193.417467471,22363256.13243408,1.3132203777528897
2000000.0,298.421875,1.01,302.2200422003295,-6677.540813429261,4.461322056568895e-05,563087.7581946678,395.9548225866045,165491.47810067123,11126222.677638546,11261755.163893357,22387977.841531903,1.3146349590090614
2023437.5,300.0,1.01,302.2917176796492,-6677.393893441165,4.4677860711506136e-05,562008.8328104031,395.25677505695,167048.17839084397,11214408.595749447,11240176.65620806,22454585.25195751,1.320360610377409
1976562.5,300.0,1.01,302.263502021947,-6677.083026988412,4.465240722081445e-05,562671.7888815053,395.60178670332834,163498.71843200736,11013152.41084922,11253435.777630106,22266588.188479327,1.3057695722442553
2000000.0,300.0,1.0303125,302.19107778770194,-6677.692902652527,4.458711663983746e-05,562201.5006231976,395.2992519371885,163239.9172369421,10998452.77118501,11244030.012463951,22242482.783648964,1.304264497160472
2000000.0,300.0,0.9896875,302.19107778770194,-6677.692902652527,4.458711663983746e-05,562201.5006231976,395.36556511979,167310.72157645697,11229269.296961898,11244030.012463951,22473299.309425853,1.3216426639190504
2000000.0,300.7890625,1.01,302.2421195773147,-6677.424883520211,4.463312436506114e-05,562279.695613802,395.3867002008008,165256.90179741516,11112923.341507696,11245593.91227604,22358517.253783736,1.3129492138033434
2000000.0,299.2109375,1.01,302.1517561233603,-6677.899367710555,4.455169442419359e-05,562954.6288295193,395.8612236881047,165452.83154039472,11124031.800187524,11259092.576590383,22383124.37677791,1.314357245760667
2011718.75,300.0,1.01,302.30243861362493,-6677.222863068784,4.468753462427043e-05,562176.5859275209,395.3444710585409,166162.18877480167,11164233.128929747,11243531.718550418,22407764.847480163,1.3167249904482556
