Pressure,Initial Temperature,Length-to-diameter Ratio,Final Temperature,Final Enthalpy,Reaction Rate,Catalyst Weight,Equipment Volume,Equipment Weight,Equipment Cost,Catalyst Cost,Total Cost,Objective Function
2000000.0,300.0,1.01,302.19107778770194,-6677.692902652527,4.458711663983746e-05,562201.5006231976,395.33172385419414,165234.20205614215,11111636.22630922,11244030.012463953,22355666.238773175,1.3127860748544447
2000000.0,300.0,1.01,302.19107778770194,-6677.692902652527,4.458711663983746e-05,562201.5006231976,395.33172385419414,165234.20205614215,11111636.22630922,11244030.012463953,22355666.238773175,1.3127860748544447
2000000.0,704.0,1.01,721.8605165173376,-4267.722046172226,1e-06,143372087.45530045,100774.46859525122,40830806.07079367,1191980835.9136398,2867441749.106009,4059422585.0196486,211.18207231528714
2000000.0,-104.0,1.01,,,,,,,,,,
8000000.0,300.0,1.01,348.2393318032258,-6476.404151266421,9.891310174634794e-05,326992.0420200429,238.963564091394,377332.3545587463,22327946.473399073,6539840.840400858,28867787.313799933,1.9580363702875137
-4000000.0,300.0,1.01,27211.957860634637,-27325450445.270042,1e-06,142494659.49050668,96227.19534005832,-79838333.61435124,,2849893189.8101335,,
2000000.0,300.0,6.210000000000001,302.19107778770194,-6677.692902652527,4.458711663983746e-05,562201.5006231976,394.06158934371075,82004.45881272914,6165663.511181423,11244030.012463953,17409693.52364538,0.9404039919963402
2000000.0,300.0,-4.1899999999999995,302.19107778770194,-6677.692902652527,4.458711663983746e-05,562201.5006231976,,,,11244030.012463953,,
2000000.0,502.0,1.01,526.7510963864813,-5434.490950902904,1e-06,3263502.916020325,2294.3353915698053,943491.6043751605,48553660.500460766,65270058.3204065,113823718.82086727,6.419829365382845
2000000.0,98.0,1.01,159.08136735370798,-7415.901209210957,1e-06,143372087.45530045,100774.46859525122,40830806.07079367,1191980835.9136398,2867441749.106009,4059422585.0196486,211.18207231528714
5000000.0,300.0,1.01,332.9721873083067,-6538.973411468769,7.810429052427e-05,393661.8221498939,282.25749010896345,284499.1366993947,17582151.08034614,7873236.442997878,25455387.523344018,1.6571957361767802
-1000000.0000000002,300.0,1.01,15021.080506599059,-18026505405.770042,1e-06,139018880.27389917,95798.25675305563,-19368971.119566724,,2780377605.4779835,,
2000000.0,300.0,3.6100000000000003,302.19107778770194,-6677.692902652527,4.458711663983746e-05,562201.5006231976,394.20219758427913,93101.22838317549,6857848.563232903,11244030.012463953,18101878.575696856,0.9925185761746549
2000000.0,300.0,-1.5899999999999999,302.19107778770194,-6677.692902652527,4.458711663983746e-05,562201.5006231976,,,,11244030.012463953,,
2000000.0,401.0,1.01,421.18076201997843,-6033.649094378556,0.00020611134193313906,112408.98500414593,79.07252088779721,33902.09960106855,2957157.416232507,2248179.7000829186,5205337.116315426,0.31785602411945074
2000000.0,199.0,1.01,234.91906532304426,-7027.730468051488,7.69949822824589e-06,5956900.260619898,4187.6576081364055,1715643.750240728,80656626.99302268,119138005.21239796,199794632.20542064,11.118200371402754
3500000.0,300.0,1.01,329.25576273300084,-6547.040271928514,7.344377797829554e-05,409782.00330932176,290.9917791065287,208349.4802913149,13512737.704053668,8195640.0661864355,21708377.770240106,1.3644637574926262
499999.99999999994,300.0,1.01,300.5929136057226,-6671.157046047951,4.316234231673922e-05,582123.3369445121,405.325944164179,47289.96227105452,3894929.3000527862,11642466.738890242,15537396.038943028,0.786314541571412
2000000.0,300.0,2.31,302.19107778770194,-6677.692902652527,4.458711663983746e-05,562201.5006231976,394.430107005206,108609.19175139187,7804935.701409213,11244030.012463953,19048965.713873167,1.063824727962252
2000000.0,300.0,-0.29000000000000004,302.19107778770194,-6677.692902652527,4.458711663983746e-05,562201.5006231976,,,,11244030.012463953,,
2000000.0,350.5,1.01,372.5110374672649,-6301.329367404784,0.00013642698499059352,200013.8891725243,140.67584386986394,59675.94460752579,4727042.236896741,4000277.783450486,8727320.020347226,0.5253129881421361
2000000.0,249.5,1.01,308.92327141641096,-6642.440798832084,5.092683967311965e-05,919009.0312732588,646.1844225448613,268598.64439807297,16747565.1046333,18380180.625465177,35127745.73009848,2.0393352028535334
2750000.0,300.0,1.01,303.06456595628583,-6680.317325850929,4.5378766246550075e-05,552981.1343234746,390.75417442609336,221485.11161554485,14228778.699472621,11059622.686469492,25288401.385942113,1.5396658425504022
1250000.0,300.0,1.01,301.2828057736278,-6675.0624871160635,4.3773641336255176e-05,572454.6910938509,400.5678706045356,107318.68563628352,7726937.483018838,11449093.821877018,19176031.304895855,1.0666368210612112
2000000.0,300.0,1.6600000000000001,302.19107778770194,-6677.692902652527,4.458711663983746e-05,562201.5006231976,394.6962894290222,125732.52411285964,8827399.885011243,11244030.012463953,20071429.897475198,1.1408060144082888
2000000.0,300.0,0.36000000000000004,302.19107778770194,-6677.692902652527,4.458711663983746e-05,562201.5006231976,398.36893698486386,348365.73485573864,20868208.850626007,11244030.012463953,32112238.86308996,2.047358027563968
2000000.0,325.25,1.01,348.1992802111308,-6432.908975539709,9.885522078657658e-05,288464.23816726095,202.86913784394238,85559.32950600966,6388852.559490124,5769284.763345219,12158137.322835343,0.7253491295837199
2000000.0,274.75,1.01,302.2815360516206,-6677.9449343737015,4.466867471135507e-05,610645.8360459268,429.3911979252952,179292.60017798006,11903852.326410765,12212916.720918536,24116769.0473293,1.4134649278411695
2375000.0,300.0,1.01,302.6520815487896,-6678.900114012862,4.5003786724148354e-05,557525.4249287905,393.00450590296464,193569.21754048887,12698879.411157662,11150508.49857581,23849387.909733474,1.4283288567329364
